ID	BM	SVL	TL	ED	HW	HL	VS	SCS	Month	Season	TL	TW	TT	TM	TV	GSI
2107	91	624	218	6.58	12.70	22.77	196	95	May	Dry	23.87	6.80	4.13	0.390	349.428	0.428
2131	46	634	218	5.71	9.92	22.15	200	97	Feb	Rainy	19.90	2.84	2.71	0.088	79.834	0.191
2403	40	523	170	5.95	9.78	18.34	204	108	Feb	Rainy	18.34	6.44	4.03	0.152	248.105	0.381
10	81	625	225	6.26	11.30	19.93	191	99	Apr	Dry	24.63	5.61	3.26	0.331	234.796	0.408
997	44	504	178	5.78	9.89	16.70	195	105	Aug	Dry	16.35	4.18	3.15	0.137	112.215	0.312
1225	36	503	172	5.90	9.50	16.55	201	100	Feb	Rainy	16.15	4.98	3.01	0.165	126.187	0.457
1286	91	605	160	6.69	13.05	22.09	195	63	Jun	Dry	19.33	6.38	5.02	0.313	322.702	0.344
1313	41	450	161	5.16	9.82	17.61	195	105	May	Dry	17.74	5.30	3.06	0.125	149.967	0.306
1424	114	700	250	7.05	12.37	22.33	192	102	Sept	Dry	19.26	7.97	5.78	0.492	462.475	0.431
2008	58	654	127	6.51	11.34	20.51	197	97	Jan	Rainy	22.19	2.72	3.13	0.098	98.473	0.169
1267	86	703	245	6.46	12.45	23.74	203	103	Apr	Dry	24.82	7.05	5.04	0.425	459.693	0.494
1244	29	423	141	5.54	9.43	16.90	198	99	Apr	Dry	11.43	3.67	2.61	0.048	57.069	0.164
