sex	ID	SVL	TL	SVLT	ED	HW	HL	VS	TS	BM
F	1224	758	213	971	7.03	13.66	24.74	216	90	158
F	1389	805	224	1029	7.06	12.97	25.28	204	85	107
F	1474	882	216	1098	8.03	15.73	29.65	200	69	202
F	2349	733	220	953	7.16	11.14	23.66	NA	103	83
F	1628	970	265	1235	8.06	12.61	26.38	203	83	153
F	2477	764	213	977	7.24	12.86	23.97	202	89	112
M	2107	624	218	842	6.58	12.7	22.77	196	95	91
M	2131	634	218	852	5.71	9.92	22.15	200	97	46
M	2403	523	170	693	5.95	9.78	18.34	204	108	40
M	10	625	225	850	6.26	11.3	19.93	191	99	81
M	997	504	178	682	5.78	9.89	16.7	195	105	44
M	1225	503	172	675	5.9	9.5	16.55	201	100	36
M	1286	605	160	765	6.69	13.05	22.09	195	63	91
M	1313	450	161	611	5.16	9.82	17.61	195	105	41
M	1424	700	250	950	7.05	12.37	22.33	192	102	114
M	2008	654	127	781	6.51	11.34	20.51	197	97	58
M	1267	703	245	948	6.46	12.45	23.74	203	103	86
M	1244	423	141	564	5.54	9.43	16.9	198	99	29
